framework_1,framework_2,metric_1,metric_2,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p
RAGAS,DeepEval,RAGAS_faithfulness,DeepEval_faithfulness,0.5605,6.104068568223833e-18,0.5683,1.6812653659580106e-18,0.5126,1.1519529007929333e-16
RAGAS,RAGChecker,RAGAS_faithfulness,RAGChecker_faithfulness,-0.0417,0.557392276076937,-0.0619,0.3840229990579016,-0.0502,0.3817200330367978
RAGAS,ARES,RAGAS_faithfulness,ARES_answer_faithfulness,0.3188,4.195524753929828e-06,0.4537,1.502865200417529e-11,0.3442,1.98520969239914e-10
RAGAS,FaithJudge,RAGAS_faithfulness,FaithJudge_faithfulness,0.6875,2.5354000152942555e-29,0.4921,1.352700209450232e-13,0.422,9.058724549053021e-13
RAGAS,KG-RAG,RAGAS_faithfulness,KG-RAG_kg_faithfulness,0.3459,5.247410619701472e-07,0.4436,4.7423484914092865e-11,0.3439,2.1498975918226575e-10
DeepEval,RAGChecker,DeepEval_faithfulness,RAGChecker_faithfulness,-0.0074,0.9177158068073699,-0.0129,0.8556525805676005,-0.0115,0.841660319842257
DeepEval,ARES,DeepEval_faithfulness,ARES_answer_faithfulness,0.5348,3.415982442652747e-16,0.5139,7.101952079704412e-15,0.4001,1.7703008475007527e-13
DeepEval,FaithJudge,DeepEval_faithfulness,FaithJudge_faithfulness,0.4969,7.204824280216638e-14,0.3528,2.9900073466910365e-07,0.3019,3.591707091900533e-07
DeepEval,KG-RAG,DeepEval_faithfulness,KG-RAG_kg_faithfulness,0.4492,2.513079288561903e-11,0.5021,3.6097056645942564e-14,0.3971,2.823623532971815e-13
RAGChecker,ARES,RAGChecker_faithfulness,ARES_answer_faithfulness,-0.0218,0.7588305493580534,-0.1221,0.08504857087625152,-0.0854,0.09076113776691423
RAGChecker,FaithJudge,RAGChecker_faithfulness,FaithJudge_faithfulness,-0.0343,0.6294852517965273,-0.0309,0.6639155808319407,-0.0228,0.678671042199668
RAGChecker,KG-RAG,RAGChecker_faithfulness,KG-RAG_kg_faithfulness,0.035,0.6225052141060936,-0.0539,0.4480770545717054,-0.0384,0.44704365113202216
ARES,FaithJudge,ARES_answer_faithfulness,FaithJudge_faithfulness,0.1101,0.12076352564513218,0.2948,2.2588820581478738e-05,0.2097,5.3393676197985865e-05
ARES,KG-RAG,ARES_answer_faithfulness,KG-RAG_kg_faithfulness,0.691,1.0088851199040584e-29,0.6548,7.148496833690541e-26,0.4766,1.361259853851964e-23
FaithJudge,KG-RAG,FaithJudge_faithfulness,KG-RAG_kg_faithfulness,0.1463,0.03878475964016265,0.3379,9.904828251434672e-07,0.2407,3.6261464749465772e-06
