,ARES_answer_faithfulness,BERTScore_f1,DeepEval_faithfulness,FaithJudge_faithfulness,G-Eval_consistency,GaRAGe_deflection_score,HALT-RAG_nli_ensemble_score,HSAD_spectral_consistency,KG-RAG_kg_faithfulness,LRP4RAG_relevance_consistency,LUMINA_lumina_score,LettuceDetect_example_f1,MetaRAG_factoid_consistency,QAFactEval_factual_consistency,RAGAS_faithfulness,RAGChecker_faithfulness,ReDeEP_external_context_score,SIRG_attribution_consistency,TRACe_adherence,UniEval_consistency
ARES_answer_faithfulness,1.0,0.1576800661778949,0.5348237328297463,0.11006934379516357,-0.014567688189353448,0.31421484129307814,0.07085247768346654,0.8739195083498461,0.6909956352890315,0.7791762381578065,0.8141477780221248,0.6156789578750511,0.3598400897491147,-0.1806538914516577,0.3188381818759586,-0.021843695964002346,0.5274596635833408,0.5552483071455594,0.902724860455793,0.8561943517135745
BERTScore_f1,0.1576800661778949,1.0,0.14001078883726115,0.015583308571480667,-0.029063056595415797,0.155640534908447,0.017169375662108542,0.05359211434794786,-0.13469619930148005,-0.18807823379074146,-0.1043266938887866,-0.1096516264622142,-0.2821736505086201,0.1790281895397493,0.03724832404158651,-0.09427191584709382,-0.08271477017376512,-0.20570878680285062,0.1516951771639397,0.2139444834716313
DeepEval_faithfulness,0.5348237328297463,0.14001078883726115,1.0,0.49691111367423846,0.3785227873089047,0.26135051457324976,0.022446284881449525,0.5137654005488449,0.4492468567858097,0.4308777175650058,0.432181315005009,0.39865337104345205,0.2832928384206949,-0.032826757895398975,0.5605040509052868,-0.007351200093621143,0.2998083315669263,0.46273313723932663,0.4770864898973633,0.5194029293076764
FaithJudge_faithfulness,0.11006934379516357,0.015583308571480667,0.49691111367423846,1.0,0.6240470017553126,0.18719243786051734,-0.08861381229099272,0.17729301936811223,0.14625110585376327,0.1724611289089733,0.06248957771022431,0.18127199906706967,0.10213018875777372,-0.0567721405399891,0.6874701577242617,-0.03431953596963691,0.04165554825495007,0.2147241279421135,0.12200382073913996,0.1286223263408781
G-Eval_consistency,-0.014567688189353448,-0.029063056595415797,0.3785227873089047,0.6240470017553126,1.0,0.15435011027473788,-0.033743879486642765,0.06790877605322597,0.11352800957772673,0.05522193281442176,0.01792182595268113,0.11134235216359863,0.0990879240108901,-0.0030304585766243895,0.5586796416022134,0.03375302387082065,-0.016873199044560132,0.09232665247239807,0.005457708307084822,0.019905441321462485
GaRAGe_deflection_score,0.31421484129307814,0.155640534908447,0.26135051457324976,0.18719243786051734,0.15435011027473788,1.0,-0.11422212944553335,0.29217180487291916,0.3285925379991934,0.26218536305271584,0.3131737928804919,0.24482932136115854,0.2438130623761719,-0.0022788575537071296,0.24257943893722433,-0.10010276713161162,0.19669092783040312,0.1741512699719217,0.32064134367899194,0.2673785883318894
HALT-RAG_nli_ensemble_score,0.07085247768346654,0.017169375662108542,0.022446284881449525,-0.08861381229099272,-0.033743879486642765,-0.11422212944553335,1.0,0.05318416641297083,0.05630735771613683,0.03914577377044073,0.05343943667419321,0.0405238042897866,0.06862131786932739,-0.024022569143237568,-0.04827062787952347,-0.07613641824128584,0.02024867276944618,0.003628584947571606,0.0656758607041839,0.0465129184290468
HSAD_spectral_consistency,0.8739195083498461,0.05359211434794786,0.5137654005488449,0.17729301936811223,0.06790877605322597,0.29217180487291916,0.05318416641297083,1.0,0.711784520262069,0.7970791362137699,0.7660099879272024,0.6639613558309818,0.4044907834682669,-0.27540497403703207,0.3847887794203167,-0.05074595983698859,0.4595945810168201,0.642740097598519,0.901284786812475,0.84625130351161
KG-RAG_kg_faithfulness,0.6909956352890315,-0.13469619930148005,0.4492468567858097,0.14625110585376327,0.11352800957772673,0.3285925379991934,0.05630735771613683,0.711784520262069,1.0,0.7653656517678877,0.8119606174051964,0.55340697163874,0.7145429630487606,-0.18467775506826484,0.3459133790396605,0.035019899081384795,0.6579785970154616,0.5853621177314803,0.7134560573753522,0.6700495313165822
LRP4RAG_relevance_consistency,0.7791762381578065,-0.18807823379074146,0.4308777175650058,0.1724611289089733,0.05522193281442176,0.26218536305271584,0.03914577377044073,0.7970791362137699,0.7653656517678877,1.0,0.8160205573874559,0.729181786808767,0.45667880964540447,-0.2765247810617752,0.32629324349359046,0.049263982078170024,0.5310138633812534,0.7479158681643143,0.8162412502179232,0.7240205290670525
LUMINA_lumina_score,0.8141477780221248,-0.1043266938887866,0.432181315005009,0.06248957771022431,0.01792182595268113,0.3131737928804919,0.05343943667419321,0.7660099879272024,0.8119606174051964,0.8160205573874559,1.0,0.5763422118910458,0.5355059691507604,-0.2343895462848721,0.289462025093141,0.04620719510337016,0.6310123582398285,0.5778534414898977,0.7847276711484429,0.728248335924064
LettuceDetect_example_f1,0.6156789578750511,-0.1096516264622142,0.39865337104345205,0.18127199906706967,0.11134235216359863,0.24482932136115854,0.0405238042897866,0.6639613558309818,0.55340697163874,0.729181786808767,0.5763422118910458,1.0,0.3135968474129579,-0.1378587398044523,0.2986277637938966,0.02221588930787604,0.3569723833180305,0.6609889787471687,0.6200862380438674,0.5431861905187864
MetaRAG_factoid_consistency,0.3598400897491147,-0.2821736505086201,0.2832928384206949,0.10213018875777372,0.0990879240108901,0.2438130623761719,0.06862131786932739,0.4044907834682669,0.7145429630487606,0.45667880964540447,0.5355059691507604,0.3135968474129579,1.0,-0.2277424345299996,0.23636170383554975,0.048816257113275065,0.6400727567377418,0.4098859937192904,0.36837705827589984,0.36176433130964414
QAFactEval_factual_consistency,-0.1806538914516577,0.1790281895397493,-0.032826757895398975,-0.0567721405399891,-0.0030304585766243895,-0.0022788575537071296,-0.024022569143237568,-0.27540497403703207,-0.18467775506826484,-0.2765247810617752,-0.2343895462848721,-0.1378587398044523,-0.2277424345299996,1.0,-0.039565066454875564,0.1864238610913139,-0.027719672058722656,-0.27450358271719955,-0.1951741278775392,-0.14951663099224768
RAGAS_faithfulness,0.3188381818759586,0.03724832404158651,0.5605040509052868,0.6874701577242617,0.5586796416022134,0.24257943893722433,-0.04827062787952347,0.3847887794203167,0.3459133790396605,0.32629324349359046,0.289462025093141,0.2986277637938966,0.23636170383554975,-0.039565066454875564,1.0,-0.04173080849689797,0.17725466350484642,0.32386176265050576,0.35215447296974306,0.3187996961452972
RAGChecker_faithfulness,-0.021843695964002346,-0.09427191584709382,-0.007351200093621143,-0.03431953596963691,0.03375302387082065,-0.10010276713161162,-0.07613641824128584,-0.05074595983698859,0.035019899081384795,0.049263982078170024,0.04620719510337016,0.02221588930787604,0.048816257113275065,0.1864238610913139,-0.04173080849689797,1.0,0.22297496783547277,-0.12731359713419066,-0.036687512791501946,-0.0013714689458654817
ReDeEP_external_context_score,0.5274596635833408,-0.08271477017376512,0.2998083315669263,0.04165554825495007,-0.016873199044560132,0.19669092783040312,0.02024867276944618,0.4595945810168201,0.6579785970154616,0.5310138633812534,0.6310123582398285,0.3569723833180305,0.6400727567377418,-0.027719672058722656,0.17725466350484642,0.22297496783547277,1.0,0.3546880811798815,0.4773067365620921,0.4874819364981952
SIRG_attribution_consistency,0.5552483071455594,-0.20570878680285062,0.46273313723932663,0.2147241279421135,0.09232665247239807,0.1741512699719217,0.003628584947571606,0.642740097598519,0.5853621177314803,0.7479158681643143,0.5778534414898977,0.6609889787471687,0.4098859937192904,-0.27450358271719955,0.32386176265050576,-0.12731359713419066,0.3546880811798815,1.0,0.6096693853928082,0.5226140181631512
TRACe_adherence,0.902724860455793,0.1516951771639397,0.4770864898973633,0.12200382073913996,0.005457708307084822,0.32064134367899194,0.0656758607041839,0.901284786812475,0.7134560573753522,0.8162412502179232,0.7847276711484429,0.6200862380438674,0.36837705827589984,-0.1951741278775392,0.35215447296974306,-0.036687512791501946,0.4773067365620921,0.6096693853928082,1.0,0.856091480473315
UniEval_consistency,0.8561943517135745,0.2139444834716313,0.5194029293076764,0.1286223263408781,0.019905441321462485,0.2673785883318894,0.0465129184290468,0.84625130351161,0.6700495313165822,0.7240205290670525,0.728248335924064,0.5431861905187864,0.36176433130964414,-0.14951663099224768,0.3187996961452972,-0.0013714689458654817,0.4874819364981952,0.5226140181631512,0.856091480473315,1.0
